"","gene.name","mean.exp","mean.disp","mean.disp2","opt.exp","opt.disp","opt.disp2"
"569","F3",3.37828717089449,3.67924684119183,1.14119924249687,0.992733878292474,0.833787465940065,0.286103542234335
"570","Arhgap29",2.37910955898473,3.22629282420769,2.37611036052944,0.409627611262493,0.730245231607638,0.83197093551318
"571","Synpo2",2.80781062810689,3.39736385527697,1.29023690751674,0.557674841053594,0.616712079927346,0.370572207084472
"572","Ndst4",2.06494532594616,2.23418120390171,1.39850606507194,0.355131698455952,0.395095367847415,0.415077202543147
"573","Ank2",0.522959299312471,1.59469132543673,1.1615520057096,0,0.0817438692098092,0.295186194368758
"574","Larp7",0.735882380505844,1.47434827991386,1.39376536937786,0,0.143505903723888,0.383287920072665
"575","Neurog2",3.081918704827,2.56971157417261,2.28011641557012,1.00000000000001,0.743869209809273,1.00000000000001
"576","Elovl6",0.59047297723599,1.67556618176116,1.91947444469414,0,0.139872842870118,0.69209809264306
"577","Hadh",2.54018579200776,2.87177340552541,2.2727609833353,0.623069936421442,0.705722070844695,0.881017257039067
"578","Dkk2",2.52343712531152,3.41542346855256,1.48291984802601,0.445958219800186,0.685740236148964,0.425068119891013
"579","Gm30648",4.25258013848008,3.4288240816766,2.30346385280185,0.966394187102646,0.595821980018172,0.761126248864678
"580","Cxxc4",1.78843496491342,1.45398558202831,1.17720520353677,0.154405086285196,0.161671207992734,0.320617620345144
"581","Tacr3",3.89612816557304,4.79215113403691,1.28719039804112,0.907356948228894,0.876475930971855,0.35785649409628
"582","Cenpe",3.81627295484541,3.59744908881817,2.46938197197821,1.00000000000001,0.999091734786571,0.87829246139874
"583","Bdh2",2.94801588875412,2.78892477194414,1.69734043054962,0.807447774750237,0.573115349682114,0.575840145322441
"584","Ppp3ca",0.624012048500322,1.70588180215904,1.4043588139945,0,0.178019981834696,0.434150772025436
"585","Ddit4l",3.55379348288383,4.25682520322213,2.13448040997608,0.979109900090839,0.953678474114454,0.738419618528619
"586","H2afz",0.811882500526219,2.71690590335731,2.39168191724618,0,1.00000000000001,1.00000000000001
"587","Lmo4",3.19026671442887,2.31633939384338,2.33022256096246,1.00000000000001,0.393278837420531,0.828337874659411
"588","Hs2st1",0.982380401665162,1.60588071922946,1.87831953591373,0.00181653042688465,0.169845594913715,0.644868301544058
"589","Clca3a1",2.62131654215629,3.37660913044543,1.27150425187002,0.515894641235246,0.622161671208,0.35785649409628
"590","Gm34866",2.69421082517267,3.77143046073092,1.31155929632579,0.533151680290651,0.704813805631253,0.374205267938242
"591","Cyr61",3.97849932955065,1.70907738802095,2.64631515497814,1.00000000000001,0.215258855585832,0.935513169845607
"592","Ddah1",3.42588901464964,1.07319426336938,2.169851512839,1.00000000000001,0.0345140781108083,0.793823796548602
"593","Gng5",0.597700086938159,2.65192761887247,2.37628266476817,0,0.668483197093559,1.00000000000001
